student_id,gender,age,major,education,ML_familarity,ML_Experience,ML_bg_rate
136,Male,23,Computer Science,Undergraduate (1st year),Kind of,No,2
140,Female,24,technical management,Graduate (MS),Kind of,No,1
142,Female,33,nan,Some college no degree,Kind of,No,1
146,Others,25,Public Health,Graduate (MS),No,No,1
148,Male,24,Self-Employed,Undergraduate (1st year),No,No,2
149,Male,40,criminal justice,Undergraduate (4th year or above),No,No,1
153,Others,33,Computer Science and Engineering,Undergraduate (4th year or above),No,No,1
154,Male,26,Animal Physiology. ,Undergraduate (4th year or above),Yes,Kind of,3
153,Others,33,Computer Science and Engineering,Undergraduate (4th year or above),No,No,1
155,Female,37,Sociology,Undergraduate (4th year or above),Yes,No,2
158,Female,37,psychology,Undergraduate (4th year or above),No,Yes,3
163,Male,19,Finance,Undergraduate (3rd year),Kind of,No,2
160,Female,29,English,Undergraduate (4th year or above),No,No,1
164,Male,32,Medicine,MD,No,No,2
161,Male,33,Finance,High school,No,No,2
167,Female,28,Nutrition,Graduate (MS),No,No,2
165,Male,36,Automotive Technology,High school,Kind of,No,1
175,Prefer not to say,20,N/a,High school,Kind of,Kind of,3
179,Male,32,high school,High school,No,No,3
178,Female,37,Psychology,Undergraduate (4th year or above),Kind of,No,2
176,Others,24,English,Undergraduate (3rd year),No,No,1
181,Male,38,Network Specialist ,Undergraduate (2nd year),Kind of,No,2
186,Female,32,Education,Undergraduate (2nd year),No,No,3
191,Male,20,Mechanical Engineering,Undergraduate (3rd year),No,No,2
201,Male,40,Business Administration,Graduate (MS),No,No,1
202,Male,21,nan,High school,No,No,1
204,Female,20,Psychology,Undergraduate (2nd year),No,No,1
207,Female,32,english,Undergraduate (4th year or above),No,No,1
209,Male,40,Biochemistry,Graduate (PhD),Yes,No,2
211,Female,28,Broadcast journalism,Graduate (JD),Kind of,No,2
212,Female,34,English,Graduate (MS),Kind of,No,1
208,Male,35,Psychology,Undergraduate (4th year or above),Kind of,No,2
216,Male,32,Computer Science,Undergraduate (4th year or above),Yes,Yes,3
213,Female,34,MOM,Undergraduate (2nd year),No,No,1
217,Female,27,Digital Forensics,Undergraduate (4th year or above),Kind of,No,2
218,Male,29,computer information technology,Undergraduate (2nd year),Kind of,No,1
217,Female,27,Digital Forensics,Undergraduate (4th year or above),Kind of,No,2
220,Prefer not to say,31,writing,Undergraduate (4th year or above),Kind of,No,2
228,Female,22,English,Undergraduate (4th year or above),Yes,No,1
234,Male,30,Molecular Biology,Undergraduate (4th year or above),Kind of,No,1
230,Female,36,nan,Undergraduate (1st year),No,No,1
233,Male,33,General,High school,Kind of,No,2
238,Female,32,History,Graduate (MS),No,No,1
238,Female,32,History,Graduate (MS),No,No,1
240,Male,21,Computer Engineering,Undergraduate (2nd year),Kind of,No,1
245,Male,30,History,Graduate (PhD),No,No,1
244,Male,23,nan,High school,No,No,1
246,Male,35,information security,Undergraduate (3rd year),Yes,No,3
241,Male,33,Bachelors in Computer Science,Undergraduate (4th year or above),Kind of,Yes,2
256,Male,31,Liberaal Arts,AA,No,No,2
257,Female,25,English,Undergraduate (3rd year),No,No,1
258,Others,27,General Biology,Undergraduate (4th year or above),No,No,1
260,Male,27,Biology,Undergraduate (4th year or above),No,No,1
262,Male,29,Government and International Politics,Professional Degree,Kind of,No,1
268,Female,29,Psychology,Undergraduate (4th year or above),No,No,1
269,Male,23,Mechanical Engineering,Undergraduate (4th year or above),Yes,No,2
272,Female,25,Graphic Design,Undergraduate (4th year or above),No,No,1
273,Female,21,Communication Disorders and Sciences,Undergraduate (4th year or above),No,No,1
274,Female,30,Psychology,Undergraduate (4th year or above),Kind of,No,2
278,Female,22,Spanish,Undergraduate (4th year or above),No,Kind of,1
